symbol,company_name,cik,filer_name,match_method,first_period,last_period,quarters_present,quarters_expected,gaps,continuous,calls_split,calls_unsplit,calls_low_confidence
HSIC,"Henry Schein, Inc.",,,,2015Q1,2024Q4,40,40,0,,41,0,0
HST,"Host Hotels & Resorts, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,61,10,1
HSY,The Hershey Company,,,,2012Q1,2024Q4,52,52,0,yes,61,4,7
HUBB,Hubbell Incorporated,,,,2020Q1,2024Q4,20,20,0,,20,1,0
HUM,Humana Inc.,49071,HUMANA INC,edgar_ticker,2012Q1,2024Q4,45,52,7,,58,0,0
HWM,Howmet Aerospace Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
IAC,,,,,,,0,52,52,,10,2,0
IBM,International Business Machines Corporation,51143,INTERNATIONAL BUSINESS MACHINES CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,77,1,0
ICE,"Intercontinental Exchange, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,67,5,0
IDXX,"IDEXX Laboratories, Inc.",,,,2017Q1,2024Q4,32,32,0,,31,1,1
IEX,IDEX Corporation,,,,2019Q1,2024Q4,24,24,0,,24,1,0
IFF,International Flavors & Fragrances Inc.,,,,2012Q1,2024Q4,52,52,0,yes,66,5,0
IGT,,,,,2012Q1,2014Q3,11,11,0,,27,1,1
ILMN,,,,,2015Q1,2024Q4,40,40,0,,39,0,1
INCY,Incyte Corporation,,,,2017Q1,2024Q4,32,32,0,,32,1,0
INFO,,,,,2017Q1,2021Q3,19,19,0,,19,0,0
INTC,Intel Corporation,50863,INTEL CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,2,0
INTU,Intuit Inc.,,,,2012Q1,2024Q4,52,52,0,yes,74,1,1
INVH,Invitation Homes Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
IP,International Paper Company,,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
IPG,"The Interpublic Group of Companies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,3,0
IPGP,,,,,2018Q1,2022Q4,20,20,0,,20,0,0
IQV,IQVIA Holdings Inc.,,,,2017Q1,2024Q4,32,32,0,,32,1,0
IR,Ingersoll Rand Inc.,,,,2012Q1,2024Q4,52,52,0,yes,66,3,0
IRM,Iron Mountain Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,64,1,0
ISRG,"Intuitive Surgical, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,66,1,0
IT,"Gartner, Inc.",,,,2017Q1,2024Q4,32,32,0,,32,1,0
ITT,,,,,,,0,52,52,,17,0,0
ITW,Illinois Tool Works Inc.,,,,2012Q1,2024Q4,52,52,0,yes,69,0,1
IVZ,Invesco Ltd.,,,,2012Q1,2024Q4,52,52,0,yes,67,0,2
J,Jacobs Solutions Inc.,,,,2012Q1,2024Q4,52,52,0,yes,69,0,0
JBHT,"J.B. Hunt Transport Services, Inc.",,,,2018Q3,2024Q4,26,26,0,,25,2,0
JBL,Jabil Inc.,898293,JABIL INC,edgar_ticker,2012Q1,2024Q4,32,52,20,,53,2,0
JCI,Johnson Controls International plc,,,,2016Q1,2024Q4,36,36,0,,47,1,0
JKHY,"Jack Henry & Associates, Inc.",,,,2018Q1,2024Q4,28,28,0,,31,0,0
JNJ,Johnson & Johnson,200406,JOHNSON & JOHNSON,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,2,5
JNPR,"Juniper Networks, Inc.",,,,2012Q1,2023Q3,47,47,0,,69,1,0
JPM,JPMorgan Chase & Co.,19617,JPMORGAN CHASE & CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,66,4,2
JWN,,,,,2012Q1,2020Q4,36,36,0,,60,1,0
K,Kellanova,,,,2012Q1,2024Q2,50,50,0,,69,2,1
KBH,,,,,,,0,52,52,,11,1,0
KDP,Keurig Dr Pepper Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
KEY,KeyCorp,,,,2012Q1,2024Q4,52,52,0,yes,55,16,1
KEYS,"Keysight Technologies, Inc.",,,,2018Q1,2024Q4,28,28,0,,29,0,0
KHC,The Kraft Heinz Company,,,,2012Q1,2024Q4,46,52,6,,46,1,0
KIM,Kimco Realty Corporation,,,,2012Q1,2024Q4,52,52,0,yes,66,3,0
KKR,KKR & Co. Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
KLAC,KLA Corporation,,,,2012Q1,2024Q4,48,52,4,,60,1,1
KMB,Kimberly-Clark Corporation,,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
KMI,"Kinder Morgan, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,55,1,0
KMX,"CarMax, Inc.",1170010,CARMAX INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,63,0,0
KO,The Coca-Cola Company,21344,COCA COLA CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,4,0
KODK,,,,,,,0,52,52,,15,4,0
KR,The Kroger Co.,56873,KROGER CO,edgar_ticker,2012Q4,2024Q4,46,49,3,,59,5,6
KSS,,,,,2012Q1,2020Q4,36,36,0,,49,5,1
KSU,,,,,2012Q1,2021Q3,39,39,0,,47,1,0
KVUE,Kenvue Inc.,,,,2023Q2,2024Q4,7,7,0,,8,0,0
L,Loews Corporation,,,,2012Q1,2024Q4,50,52,2,,58,8,1
LDOS,"Leidos Holdings, Inc.",,,,2012Q1,2024Q4,32,52,20,,41,1,0
LEG,,,,,2012Q1,2021Q4,40,40,0,,58,1,0
LEN,Lennar Corporation,920760,LENNAR CORP /NEW/,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,66,2,0
LH,Labcorp Holdings Inc.,,,,2012Q1,2024Q4,52,52,0,yes,68,2,1
LHX,"L3Harris Technologies, Inc.",,,,2019Q2,2024Q4,23,23,0,,22,2,0
LIFE,,,,,2012Q1,2012Q4,4,4,0,,16,0,0
LII,Lennox International Inc.,,,,2020Q1,2024Q4,20,20,0,,20,1,0
LIN,Linde plc,1707925,LINDE PLC,edgar_ticker,2019Q1,2024Q4,24,24,0,,25,0,0
LKQ,LKQ Corporation,,,,2016Q1,2024Q4,36,36,0,,37,0,0
LLY,Eli Lilly and Company,59478,ELI LILLY & Co,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,1,0
LM,,,,,2012Q1,2016Q4,20,20,0,,33,2,0
LMT,Lockheed Martin Corporation,936468,LOCKHEED MARTIN CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,48,17,0
LNC,,,,,2012Q1,2023Q4,48,48,0,,62,1,1
LNT,Alliant Energy Corporation,,,,2016Q1,2024Q4,36,36,0,,34,2,1
LOW,"Lowe's Companies, Inc.",60667,LOWES COMPANIES INC,edgar_ticker,2012Q1,2024Q4,50,52,2,,62,3,4
LRCX,Lam Research Corporation,,,,2012Q1,2024Q4,52,52,0,yes,55,0,0
LSI,,,,,2012Q1,2014Q4,12,12,0,,31,2,0
LULU,lululemon athletica inc.,,,,2020Q1,2024Q4,20,20,0,,20,0,0
LUMN,,,,,2012Q1,2023Q4,48,48,0,,72,0,1
LUV,Southwest Airlines Co.,92380,SOUTHWEST AIRLINES CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,68,3,0
LVS,Las Vegas Sands Corp.,,,,2019Q1,2024Q4,24,24,0,,23,0,1
LW,"Lamb Weston Holdings, Inc.",,,,2018Q1,2024Q4,28,28,0,,26,4,1
LYB,LyondellBasell Industries N.V.,1489393,LyondellBasell Industries N.V.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,49,4,0
LYV,"Live Nation Entertainment, Inc.",,,,2019Q1,2024Q4,24,24,0,,25,0,0
M,,,,,2012Q1,2020Q4,36,36,0,,49,8,1
MA,Mastercard Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,68,1,0
MAA,"Mid-America Apartment Communities, Inc.",,,,2016Q1,2024Q4,36,36,0,,36,0,1
MAC,,,,,2013Q1,2019Q4,28,28,0,,27,1,0
MAR,"Marriott International, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,67,4,2
MAS,Masco Corporation,,,,2012Q1,2024Q4,52,52,0,yes,68,1,0
MAT,,,,,2012Q1,2019Q4,32,32,0,,47,1,3
MBC,,,,,2022Q4,2022Q4,1,1,0,,1,0,0
MBI,,,,,,,0,52,52,,8,0,0
MCD,McDonald's Corporation,,,,2012Q1,2024Q4,52,52,0,yes,67,9,0
MCHP,Microchip Technology Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,61,8,2
MCK,McKesson Corporation,927653,MCKESSON CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,57,1,9
MCO,Moody's Corporation,,,,2012Q1,2024Q4,52,52,0,yes,59,12,0
MDLZ,"Mondelez International, Inc.",1103982,"Mondelez International, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,67,3,2
MDP,,,,,,,0,52,52,,12,0,0
MDT,Medtronic plc,,,,2012Q1,2024Q4,52,52,0,yes,69,0,0
MET,"MetLife, Inc.",1099219,METLIFE INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,0,0
META,"Meta Platforms, Inc.",1326801,"Meta Platforms, Inc.",edgar_ticker,2013Q1,2024Q4,48,48,0,,49,0,0
MGM,MGM Resorts International,,,,2017Q1,2024Q4,32,32,0,,33,0,0
MHK,"Mohawk Industries, Inc.",,,,2013Q1,2024Q4,48,48,0,,49,0,0
MKC,"McCormick & Company, Incorporated",,,,2012Q1,2024Q4,52,52,0,yes,64,0,0
MKTX,MarketAxess Holdings Inc.,,,,2019Q1,2024Q4,24,24,0,,25,0,0
MLM,"Martin Marietta Materials, Inc.",,,,2014Q1,2024Q4,44,44,0,,44,1,0
MMC,"Marsh & McLennan Companies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,1,0
MMM,3M Company,,,,2012Q1,2024Q4,52,52,0,yes,70,1,0
MNK,,,,,2014Q2,2017Q4,15,15,0,,14,1,0
MNST,Monster Beverage Corporation,,,,2012Q1,2024Q4,52,52,0,yes,52,0,1
MO,"Altria Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,1,2
MOH,"Molina Healthcare, Inc.",1179929,"MOLINA HEALTHCARE, INC.",edgar_ticker,2020Q1,2024Q4,20,20,0,,21,0,0
MOS,The Mosaic Company,,,,2012Q1,2024Q4,52,52,0,yes,56,1,0
MPC,Marathon Petroleum Corporation,1510295,Marathon Petroleum Corp,edgar_ticker,2012Q1,2024Q4,51,52,1,,51,1,0
MPWR,"Monolithic Power Systems, Inc.",,,,2020Q1,2024Q4,20,20,0,,20,0,1
MRK,"Merck & Co., Inc.",310158,"Merck & Co., Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,74,1,0
MRNA,"Moderna, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
MRO,,,,,2012Q1,2024Q1,49,49,0,,66,2,0
MS,Morgan Stanley,,,,2012Q1,2024Q4,52,52,0,yes,64,0,1
MSCI,MSCI Inc.,,,,2018Q1,2024Q4,28,28,0,,27,0,2
MSFT,Microsoft Corporation,789019,MICROSOFT CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,74,4,0
MSI,"Motorola Solutions, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,57,0,0
MTB,M&T Bank Corporation,,,,2012Q1,2024Q4,52,52,0,yes,71,0,0
MTCH,"Match Group, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
MTD,Mettler-Toledo International Inc.,,,,2016Q1,2024Q4,36,36,0,,36,1,0
MTG,,,,,,,0,52,52,,5,0,0
MTW,,,,,,,0,52,52,,9,0,0
MU,"Micron Technology, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,73,2,0
MUR,,,,,2012Q1,2017Q4,24,24,0,,35,4,0
MXIM,,,,,2012Q1,2020Q3,35,35,0,,48,0,0
NAVI,,,,,2014Q2,2018Q4,19,19,0,,19,0,0
NBL,,,,,2012Q1,2020Q1,33,33,0,,51,0,0
NBR,,,,,2012Q1,2015Q4,16,16,0,,34,0,0
NCLH,Norwegian Cruise Line Holdings Ltd.,,,,2017Q1,2024Q4,32,32,0,,33,0,0
NDAQ,"Nasdaq, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,68,0,1
NDSN,Nordson Corporation,,,,2020Q1,2024Q4,20,20,0,,20,0,1
NE,,,,,2012Q1,2015Q4,16,16,0,,34,0,0
NEE,"NextEra Energy, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,53,5,1
NEM,Newmont Corporation,,,,2012Q1,2024Q4,52,52,0,yes,75,3,0
NFLX,"Netflix, Inc.",1065280,NETFLIX INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,13,4,44
NI,NiSource Inc.,,,,2012Q1,2024Q4,51,52,1,,68,0,2
NKE,"NIKE, Inc.",320187,"NIKE, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,3,1
NKTR,,,,,2018Q1,2019Q4,8,8,0,,8,0,0
NLSN,,,,,2013Q1,2021Q4,36,36,0,,36,0,0
NOC,Northrop Grumman Corporation,1133421,NORTHROP GRUMMAN CORP /DE/,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,0,0
NOV,,,,,2012Q1,2021Q4,40,40,0,,56,2,0
NOW,"ServiceNow, Inc.",,,,2019Q1,2024Q4,24,24,0,,23,1,1
NRG,"NRG Energy, Inc.",1013871,"NRG ENERGY, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,61,0,0
NSC,Norfolk Southern Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,1,0
NTAP,"NetApp, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,73,4,0
NTRS,Northern Trust Corporation,,,,2012Q1,2024Q4,52,52,0,yes,61,8,0
NUE,Nucor Corporation,73309,NUCOR CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,69,0,0
NVDA,NVIDIA Corporation,1045810,NVIDIA CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,72,2,2
NWL,,,,,2012Q1,2023Q4,48,48,0,,66,1,0
NWS,,,,,2015Q1,2024Q4,40,40,0,,39,4,0
NWSA,News Corporation,,,,2013Q1,2024Q4,47,48,1,,45,5,0
NXPI,NXP Semiconductors N.V.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
NYT,,,,,,,0,52,52,,20,0,0
O,Realty Income Corporation,,,,2015Q1,2024Q4,40,40,0,,40,0,1
ODFL,"Old Dominion Freight Line, Inc.",,,,2019Q1,2024Q4,24,24,0,,25,0,0
ODP,,,,,,,0,52,52,,12,2,0
OGN,,,,,2021Q2,2023Q4,11,11,0,,10,1,0
OI,,,,,2012Q1,2016Q4,20,20,0,,34,0,0
OKE,"ONEOK, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,56,4,0
OMC,Omnicom Group Inc.,,,,2012Q1,2024Q4,52,52,0,yes,60,1,2
ON,ON Semiconductor Corporation,,,,2020Q1,2024Q4,20,20,0,,21,0,0
ORCL,Oracle Corporation,1341439,ORACLE CORP,edgar_ticker,2012Q1,2024Q4,51,52,1,,68,7,0
ORLY,"O'Reilly Automotive, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,62,3,0
OTIS,Otis Worldwide Corporation,,,,2020Q1,2024Q4,20,20,0,,21,0,0
OXY,Occidental Petroleum Corporation,,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
PANW,"Palo Alto Networks, Inc.",,,,2020Q1,2024Q4,20,20,0,,22,0,0
PARA,Paramount Global,813828,Paramount Global,verified_alias,2012Q1,2024Q4,52,52,0,yes,63,4,11
PAYC,"Paycom Software, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
PAYX,"Paychex, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
PBCT,,,,,2012Q1,2020Q4,36,36,0,,52,0,0
PBI,,,,,2012Q1,2017Q4,24,24,0,,39,2,0
PCAR,PACCAR Inc,75362,PACCAR INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,0,0
PCG,PG&E Corporation,,,,2020Q2,2024Q4,19,19,0,,17,3,0
PD,,,,,,,0,52,52,,1,0,0
PDCO,,,,,2012Q1,2018Q4,28,28,0,,37,3,1
PEG,Public Service Enterprise Group Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,74,1,0
PENN,,,,,2021Q1,2022Q4,8,8,0,,8,0,0
PEP,"PepsiCo, Inc.",77476,PEPSICO INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,59,2,13
PFE,Pfizer Inc.,78003,PFIZER INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,0,1
PFG,"Principal Financial Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
PG,The Procter & Gamble Company,80424,PROCTER & GAMBLE Co,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,3,0
PGR,The Progressive Corporation,80661,PROGRESSIVE CORP/OH/,edgar_ticker,2012Q2,2024Q4,46,51,5,,44,0,10
PH,Parker-Hannifin Corporation,,,,2012Q1,2024Q4,51,52,1,,64,0,0
PHM,"PulteGroup, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
PKG,Packaging Corporation of America,,,,2017Q1,2024Q4,32,32,0,,31,2,0
PLD,"Prologis, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,67,2,0
PLL,,,,,2012Q1,2015Q2,14,14,0,,28,0,0
PLTR,Palantir Technologies Inc.,,,,2020Q3,2024Q4,18,18,0,,14,4,1
PM,Philip Morris International Inc.,1413329,Philip Morris International Inc.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,66,1,0
PNC,"The PNC Financial Services Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,1,0
PNR,Pentair plc,,,,2012Q1,2024Q4,52,52,0,yes,53,0,0
PNW,Pinnacle West Capital Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
PODD,Insulet Corporation,,,,2020Q1,2024Q4,20,20,0,,21,0,0
POM,,,,,2012Q2,2016Q4,18,19,1,,34,3,1
POOL,Pool Corporation,,,,2020Q1,2024Q4,20,20,0,,21,0,0
PPG,"PPG Industries, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,65,3,0
PPL,PPL Corporation,,,,2012Q1,2024Q4,52,52,0,yes,66,1,0
PRGO,,,,,2012Q1,2021Q4,39,40,1,,40,0,0
PRU,"Prudential Financial, Inc.",1137774,PRUDENTIAL FINANCIAL INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,0,1
PSA,Public Storage,,,,2012Q1,2024Q4,52,52,0,yes,65,0,5
PSX,Phillips 66,1534701,Phillips 66,edgar_ticker,2012Q2,2024Q4,51,51,0,,49,3,0
PTC,PTC Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,1
PVH,,,,,2013Q1,2022Q4,40,40,0,,39,1,0
PWR,"Quanta Services, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,59,0,0
PXD,,,,,2012Q1,2023Q2,44,46,2,,54,4,2
PYPL,"PayPal Holdings, Inc.",1633917,"PayPal Holdings, Inc.",edgar_ticker,2016Q1,2024Q4,36,36,0,,37,0,0
QCOM,QUALCOMM Incorporated,804328,QUALCOMM INC/DE,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,72,4,2
QEP,,,,,2012Q1,2015Q4,16,16,0,,20,1,0
QRVO,,,,,2015Q1,2024Q4,40,40,0,,38,1,1
R,,,,,2012Q1,2017Q4,24,24,0,,41,0,0
RCL,Royal Caribbean Cruises Ltd.,,,,2014Q1,2024Q4,44,44,0,,44,0,1
REG,Regency Centers Corporation,,,,2017Q1,2024Q4,32,32,0,,32,1,0
REGN,"Regeneron Pharmaceuticals, Inc.",,,,2013Q1,2024Q4,48,48,0,,48,1,0
RF,Regions Financial Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,2,0
RHI,,,,,2012Q1,2024Q4,52,52,0,yes,69,1,0
RIG,,,,,2012Q1,2017Q4,24,24,0,,39,3,1
RJF,"Raymond James Financial, Inc.",,,,2017Q1,2024Q4,32,32,0,,31,1,1
RL,Ralph Lauren Corporation,,,,2012Q1,2024Q4,52,52,0,yes,68,1,2
RMD,ResMed Inc.,,,,2017Q1,2024Q4,32,32,0,,31,4,0
ROK,"Rockwell Automation, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
ROL,"Rollins, Inc.",,,,2018Q1,2024Q4,28,28,0,,29,0,0
ROP,"Roper Technologies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,56,3,1
ROST,"Ross Stores, Inc.",,,,2012Q1,2024Q4,51,52,1,,51,0,7
RRC,,,,,2012Q1,2018Q4,28,28,0,,45,0,0
RRD,,,,,2012Q1,2012Q4,4,4,0,,21,0,0
RSG,"Republic Services, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,0,0
RTX,RTX Corporation,101829,RTX Corp,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,68,0,0
RVTY,"Revvity, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,1,0
SAF,,,,,,,0,52,52,,2,0,0
SANM,,,,,,,0,52,52,,1,0,0
SBAC,SBA Communications Corporation,,,,2017Q1,2024Q4,32,32,0,,25,5,3
SBNY,,,,,2021Q1,2022Q4,8,8,0,,7,0,1
SBUX,Starbucks Corporation,829224,STARBUCKS CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,3,0
SCHW,The Charles Schwab Corporation,,,,2012Q1,2024Q4,19,52,33,,22,0,0
SE,,,,,2012Q1,2017Q4,19,24,5,,34,1,0
SEDG,,,,,2021Q1,2023Q4,12,12,0,,11,0,1
SEE,,,,,2012Q1,2023Q4,48,48,0,,63,2,0
SHW,The Sherwin-Williams Company,,,,2012Q1,2024Q4,52,52,0,yes,72,0,0
SIG,,,,,2015Q1,2018Q4,16,16,0,,16,0,0
SITC,,,,,,,0,52,52,,10,0,0
SIVB,,,,,2018Q1,2022Q4,20,20,0,,11,1,8
SJM,The J. M. Smucker Company,,,,2012Q1,2024Q4,52,52,0,yes,61,4,5
SLB,Schlumberger Limited,87347,SLB LIMITED/NV,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,68,2,1
SLG,,,,,2015Q1,2021Q4,28,28,0,,28,0,0
SLM,,,,,2012Q1,2014Q4,12,12,0,,29,0,1
SMCI,"Super Micro Computer, Inc.",,,,2020Q1,2024Q4,20,20,0,,22,1,0
SNA,Snap-on Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,56,8,1
SNPS,"Synopsys, Inc.",,,,2017Q1,2024Q4,32,32,0,,33,0,0
SNV,,,,,,,0,52,52,,2,0,0
SO,The Southern Company,,,,2012Q1,2024Q4,52,52,0,yes,68,5,0
SOLV,Solventum Corporation,,,,2024Q2,2024Q4,3,3,0,,4,0,0
SPG,"Simon Property Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,0,2
SPGI,S&P Global Inc.,,,,2012Q1,2024Q4,52,52,0,yes,77,0,0
SRCL,,,,,2012Q1,2018Q4,28,28,0,,44,0,0
SRE,Sempra,,,,2012Q1,2024Q4,52,52,0,yes,56,11,2
SSP,,,,,,,0,52,52,,5,2,0
STE,STERIS plc,,,,2019Q1,2024Q4,24,24,0,,28,0,0
STI,,,,,2012Q1,2019Q3,31,31,0,,45,4,0
STLD,"Steel Dynamics, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
STT,State Street Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,1,1
STX,Seagate Technology Holdings plc,,,,2012Q1,2024Q4,52,52,0,yes,55,0,0
STZ,"Constellation Brands, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,68,0,0
SUN,,,,,2012Q1,2012Q4,3,4,1,,18,1,0
SW,Smurfit Westrock Plc,,,,2023Q1,2024Q4,6,8,2,,7,0,0
SWK,"Stanley Black & Decker, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,66,3,0
SWKS,"Skyworks Solutions, Inc.",,,,2015Q1,2024Q4,40,40,0,,41,1,0
SYF,Synchrony Financial,,,,2015Q1,2024Q4,40,40,0,,39,2,0
SYK,Stryker Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,0,1
SYY,Sysco Corporation,96021,SYSCO CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,66,6,0
T,AT&T Inc.,732717,AT&T INC.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,59,7,0
TAP,Molson Coors Beverage Company,,,,2012Q1,2024Q4,52,52,0,yes,68,1,1
TDC,,,,,2012Q1,2017Q4,24,24,0,,38,1,0
TDG,TransDigm Group Incorporated,,,,2016Q1,2024Q3,35,35,0,,36,1,0
TDY,Teledyne Technologies Incorporated,,,,2020Q1,2024Q4,20,20,0,,17,4,0
TECH,Bio-Techne Corporation,,,,2020Q1,2024Q4,20,20,0,,23,0,0
TEL,TE Connectivity plc,,,,2020Q1,2024Q4,20,20,0,,27,2,1
TER,"Teradyne, Inc.",,,,2012Q1,2024Q4,28,52,24,,47,0,0
TEX,,,,,,,0,52,52,,5,0,0
TFC,Truist Financial Corporation,,,,2012Q1,2024Q4,52,52,0,yes,63,8,1
TFX,,,,,2019Q1,2024Q4,24,24,0,,25,0,0
TGNA,,,,,2015Q1,2017Q4,12,12,0,,9,1,2
TGT,Target Corporation,27419,TARGET CORP,edgar_ticker,2012Q1,2024Q4,50,52,2,,70,3,0
THC,,,,,2012Q1,2016Q4,20,20,0,,36,1,0
TIF,,,,,2012Q1,2019Q2,30,30,0,,8,46,0
TJX,"The TJX Companies, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
TKO,"TKO Group Holdings, Inc.",,,,2023Q3,2024Q4,6,6,0,,7,0,0
TMO,Thermo Fisher Scientific Inc.,97745,THERMO FISHER SCIENTIFIC INC.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,2,0
TMUS,"T-Mobile US, Inc.",1283699,"T-Mobile US, Inc.",edgar_ticker,2012Q1,2024Q4,31,52,21,,44,0,2
TPL,Texas Pacific Land Corporation,,,,2021Q1,2024Q4,16,16,0,,17,0,0
TPR,"Tapestry, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,75,4,0
TRGP,Targa Resources Corp.,,,,2020Q1,2024Q4,20,20,0,,20,1,0
TRIP,,,,,2012Q1,2019Q4,32,32,0,,31,0,1
TRMB,Trimble Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
TROW,"T. Rowe Price Group, Inc.",,,,2023Q1,2024Q4,8,8,0,,8,0,1
TRV,"The Travelers Companies, Inc.",86312,"TRAVELERS COMPANIES, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,0,0
TSCO,Tractor Supply Company,,,,2014Q1,2024Q4,44,44,0,,45,0,0
TSLA,"Tesla, Inc.",1318605,"Tesla, Inc.",edgar_ticker,2020Q1,2024Q4,20,20,0,,21,0,0
TSN,"Tyson Foods, Inc.",100493,"TYSON FOODS, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,69,0,2
TSS,,,,,2012Q1,2019Q1,29,29,0,,48,0,0
TT,Trane Technologies plc,,,,2020Q1,2024Q4,20,20,0,,22,0,0
TTWO,"Take-Two Interactive Software, Inc.",,,,2018Q1,2024Q4,28,28,0,,31,1,0
TWTR,,,,,2018Q1,2021Q4,16,16,0,,16,0,0
TXN,Texas Instruments Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,74,3,1
TXT,Textron Inc.,,,,2012Q1,2024Q4,52,52,0,yes,55,10,0
TYL,"Tyler Technologies, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
UA,,,,,2016Q1,2022Q1,25,25,0,,22,0,3
